,y,x,street_count,address,name,id,highway
51,41.2901449,-72.960727,3,"Ruden Street Apartments Unit 21, 21 Ruden St, West Haven, CT 06516, USA",Ruden Street Apartments Unit 21,1902860970,
52,41.2882375,-72.9586972,3,"1079 Campbell Ave, West Haven, CT 06516, USA",1079 Campbell Ave,2096427235,
53,41.2927336,-72.9606262,3,"339 US-1, West Haven, CT 06516, USA",339 US-1,2463179812,
54,41.2892229,-72.9628689,3,"121 Ruden St, West Haven, CT 06516, USA",121 Ruden St,2648033480,
55,41.2893089,-72.9622865,4,"105 Ruden St, West Haven, CT 06516, USA",105 Ruden St,2648033484,
56,41.2893733,-72.9655488,3,"13 Waban St, West Haven, CT 06516, USA",13 Waban St,2648033503,
57,41.2894539,-72.9624194,3,"105 Ruden St, West Haven, CT 06516, USA",105 Ruden St,2648033510,
58,41.2895788,-72.9625339,3,"15 Ruden Pl, West Haven, CT 06516, USA",15 Ruden Pl,2648033555,
59,41.2898246,-72.9612666,3,"69 Ruden St, West Haven, CT 06516, USA",69 Ruden St,2648033598,
60,41.2898913,-72.9613252,3,"69 Ruden St, West Haven, CT 06516, USA",69 Ruden St,2648033604,
61,41.2927099,-72.9628759,1,"2 Pruden St, West Haven, CT 06516, USA",2 Pruden St,2648033678,
62,41.2928571,-72.962423,3,"35 Pruden St, West Haven, CT 06516, USA",35 Pruden St,2648033689,
63,41.2929617,-72.9626419,3,"35 Pruden St, West Haven, CT 06516, USA",35 Pruden St,2648033695,
64,41.2930629,-72.9626967,3,"35 Pruden St, West Haven, CT 06516, USA",35 Pruden St,2648033696,
65,41.2930999,-72.9625603,3,"35 Pruden St, West Haven, CT 06516, USA",35 Pruden St,2648033700,
66,41.2909319,-72.9606299,1,"Buckman Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Buckman Hall,3425967557,
67,41.2909556,-72.9595394,1,"Kaplan Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Kaplan Hall,3425967561,
68,41.2913623,-72.9595591,1,"Kaplan Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Kaplan Hall,3425967815,
